,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PMS2P4,1113.76974938837,-0.638054606245774,0.156476079492689,-4.07764949322867,4.5493279114954e-05,0.598005870905581
UBR1,11283.9498818908,-0.221280316534451,0.0553108874516616,-4.00066472858236,6.31647984563931e-05,0.598005870905581
GYS2,34.3791032864945,-2.53982103705532,0.644093116183308,-3.9432513300336,8.03843360837326e-05,0.598005870905581
LAP3,4162.26520946854,0.52082992062271,0.138741877294101,3.75394892141087,0.000174070349765962,0.711985445544158
CYP4A11,36.3042376924728,-1.79392998489301,0.492080053509896,-3.64560597833079,0.000266762449180361,0.711985445544158
TNFRSF9,70.661850018695,1.39487853028994,0.383955240420566,3.63291963084565,0.000280232322253785,0.711985445544158
USP6,231.716760711788,-2.21391886225167,0.609727043421196,-3.63099994684392,0.000282325242702425,0.711985445544158
MX1,3422.46842023952,0.702421604918847,0.193688628741847,3.62655055942933,0.000287232599525362,0.711985445544158
WFDC10B,9.37728055408578,-2.46184919948922,0.687392727295518,-3.58143038430904,0.00034171819699445,0.711985445544158
LOC644172,38.4796827976176,-5.8861540031333,1.64659433806667,-3.57474446926889,0.000350570115124299,0.711985445544158
C15orf48,344.331999970279,1.961633220871,0.548787924136408,3.5744832103547,0.000350920328926684,0.711985445544158
ZNF709,388.746386764298,-0.462180191302441,0.13092703600814,-3.53005922530552,0.000415466652190705,0.77269872863268
APOL1,779.290114538594,0.423899555144121,0.123508571711418,3.43214684835461,0.000598823215686495,0.905937356591721
LOC220729,364.247765008222,-0.508704168293382,0.149038934536613,-3.41323003868103,0.000641977276191957,0.905937356591721
LMF1,2323.16455627078,-0.563339734163752,0.165361647474328,-3.40671336291088,0.000657501375747477,0.905937356591721
MCOLN2,363.288159620353,0.795349647049959,0.233714644337643,3.40308006502551,0.00066630751993369,0.905937356591721
SNORD116-18,932.576806115352,-1.20627463739907,0.355466737220332,-3.39349511808574,0.000690067885207423,0.905937356591721
ZNF471,577.117858947139,-0.521784514459068,0.155104324745225,-3.36408746381606,0.000767972010905011,0.916009619710807
MIR337,8.14451806060055,-3.87834316295259,1.15431779370245,-3.35985738425887,0.000779827169751113,0.916009619710807
KCNMA1-AS1,51.4563314762376,-1.24177424032416,0.377281327382694,-3.29137476518835,0.000996989967429967,0.999306081618454
USP17L2,693.853991351129,-0.927809964118466,0.281904199667775,-3.29122434221233,0.000997523269887356,0.999306081618454
TAS2R38,3.26687312601835,-4.10601578535244,1.25670074672385,-3.26729795940408,0.00108579337109873,0.999306081618454
FAM167A,2.24777830154762,4.01177324036984,1.23779452816477,3.24106558001832,0.0011908378498891,0.999306081618454
HR,48.8419693079342,-1.21352291676915,0.375246081702512,-3.23393894284872,0.00122095554939547,0.999306081618454
ADHFE1,543.36145986807,-0.520806041462768,0.162748587588316,-3.20006489260715,0.001373966488558,0.999306081618454
NFATC4,567.471015345368,-0.51003841308706,0.15987590378593,-3.19021441636376,0.00142167273086197,0.999306081618454
VGLL3,860.12748592648,-0.461347507018732,0.145315153650801,-3.17480658711872,0.00149936404350893,0.999306081618454
MIR421,472.429077943219,-0.502329600574266,0.159803778682816,-3.14341503508065,0.00166988886198271,0.999306081618454
GOLGA8R,2645.28316890147,-0.667489665634119,0.212595093951496,-3.13972280934389,0.00169107762033802,0.999306081618454
LOC729218,3293.88325910985,-0.376022595100954,0.120879657683466,-3.11071856346252,0.00186632722215227,0.999306081618454
XYLT1,551.238912605668,-0.483362491506882,0.155408050690615,-3.11027961137712,0.0018691031823175,0.999306081618454
SAMD1,181.243746617198,-0.470544770863978,0.151401323796903,-3.10793036060364,0.00188402456807778,0.999306081618454
MCM4,557.439320200847,0.423456900399062,0.136333790798784,3.1060304119618,0.00189617213046022,0.999306081618454
LOC613037,3030.2255712744,-0.58430964720808,0.188795422287842,-3.09493546044367,0.00196855727339394,0.999306081618454
POLR2J4,1672.48578077609,-0.374536244448146,0.121645473691639,-3.07891640421875,0.00207754968801988,0.999306081618454
AAAS,2541.23131523401,-0.306103927422595,0.0994683851172783,-3.07739918630108,0.00208815457969458,0.999306081618454
RMI1,240.075407070336,0.460374487683791,0.149751583495126,3.07425455503631,0.00211029286732748,0.999306081618454
RXRB,549.595215895184,-0.379110605888265,0.123383184811206,-3.07262781770757,0.00212182942434608,0.999306081618454
KIF11,347.236358858119,0.658336337030859,0.214303302885043,3.07198409062321,0.00212641058190952,0.999306081618454
CNGA1,79.2061397080602,-1.16397847006493,0.379411540221213,-3.06785204631962,0.00215603336366537,0.999306081618454
SCGB3A2,410.211972051303,-0.66353434708901,0.216438220425442,-3.06569858957782,0.00217162109984783,0.999306081618454
NRBP2,344.05086665227,-0.549336510148476,0.180387313307425,-3.04531676910266,0.00232435359157414,0.999306081618454
TPTE2P1,33.3021901264494,-0.918396181943908,0.301736656006076,-3.04370106734866,0.00233687220904698,0.999306081618454
CCDC36,188.433246643356,-0.782612951236183,0.257333316689936,-3.04124223517922,0.00235604199979216,0.999306081618454
CYB5RL,131.374429713724,-0.860507762410703,0.283080397926988,-3.03979988975657,0.00236735385183801,0.999306081618454
TIMP1,5146.36853079567,0.428143437026688,0.141252270733764,3.0310552517323,0.0024370064876804,0.999306081618454
IFIT2,765.68553641861,0.643449783773016,0.21268411246304,3.02537776010342,0.00248322760676051,0.999306081618454
POTEF,30.7979475118738,-1.55760092377806,0.515148816879106,-3.02359410085493,0.00249791330991855,0.999306081618454
GOLGA6L9,1951.90377350034,-0.839274365410394,0.277939895858451,-3.01962538633827,0.00253087509239578,0.999306081618454
