,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PLD5,841.895422044549,-3.99044152806352,0.358833665984093,-11.1205884685313,9.96127714735541e-29,1.91485630603613e-24
NTN1,191.456254978298,-2.05827167639617,0.194453203152372,-10.5849203974456,3.50078186372594e-26,3.36477648832019e-22
CXCL9,684.106302836859,3.45449142923408,0.339234811736843,10.1831867182129,2.35713214935796e-24,1.51037171023694e-20
PCDH11X,8919.89844565385,-3.39570742374664,0.344208901467452,-9.8652516226915,5.88866177705228e-23,2.8299436335069e-19
MIS18BP1,2588.13154715716,0.92988693771355,0.0961690851129209,9.6692917128377,4.07186343530783e-22,1.56546861633845e-18
LGR6,1420.16954461356,-2.90040267527024,0.301226860950039,-9.62863227443485,6.05297555455127e-22,1.93927248475232e-18
MPP6,2348.06456668617,-1.17013422584138,0.12228544463231,-9.56887575099195,1.08074452765544e-21,2.96787886501723e-18
FKBP8,1510.54528150594,-0.72363435990649,0.0762703753845429,-9.48775138784938,2.36071523164985e-21,5.67250361225064e-18
TLN2,4333.88617359346,-1.19221719182326,0.12603401630969,-9.45948742039414,3.09456421282519e-21,6.60964531812651e-18
RPS6KA6,507.363690685225,-1.79801791302781,0.192212250121276,-9.35433569865267,8.41266938763591e-21,1.61716743638525e-17
HSPB1,11227.0098851685,-1.39818101548385,0.149950428594204,-9.32428822372765,1.11730990474959e-20,1.95254984536377e-17
PHACTR1,1045.5474744117,-1.11416301488782,0.120145830309652,-9.27342224042472,1.80267146975656e-20,2.88772947192754e-17
NFIC,2466.72908631178,-0.828285877446999,0.0903658067311345,-9.16592135243587,4.91255027070389e-20,7.2641502964416e-17
PKD1,27534.4491725213,-1.30640925623426,0.143479145010164,-9.10522052624249,8.60913574060724e-20,1.18209583101209e-16
DACT3,425.294141969843,-1.72228622426731,0.189932153476116,-9.06790236800999,1.21330204082373e-19,1.48070542114224e-16
TLE1,847.455120273635,-1.06729555278921,0.117722530546703,-9.06619614641903,1.23244481809686e-19,1.48070542114224e-16
PPL,1425.5851504631,-1.18177144775141,0.130512707674388,-9.05483817483717,1.36770436339133e-19,1.54655182220421e-16
ODF2L,1068.61532445712,0.920320891368523,0.101945312257715,9.02759402062524,1.75487515950352e-19,1.87410917728534e-16
RAD23A,1203.83981517195,-0.58551455654139,0.0649469521317922,-9.01527380920428,1.96379276423426e-19,1.97375425158703e-16
IRS1,1160.49966563895,-0.949748398162326,0.105406091959867,-9.01037483226246,2.05353404940647e-19,1.97375425158703e-16
ZNF503,146.625829837358,-1.85673118465415,0.209396868920681,-8.86704368706427,7.51134476981684e-19,6.87574192905663e-16
PCDH9,942.12237466892,-1.5897729024019,0.179409686558093,-8.86113193162026,7.92060648547203e-19,6.92080993046494e-16
HCFC1,2179.65635040347,-0.565620094728815,0.0639312874509362,-8.84731275219349,8.96518838565224e-19,7.49294853640839e-16
PLCB4,2571.72761174003,-1.20361223447143,0.136429843360903,-8.8222063796369,1.12226169441038e-18,8.65069118862578e-16
KANK2,2114.01357177884,-1.16219157072014,0.131738937342061,-8.82192914386812,1.12504437244782e-18,8.65069118862578e-16
FAT3,3499.28153872899,-2.87679704899184,0.326377414578391,-8.81432636111798,1.20406832357807e-18,8.9022328400543e-16
SFRP1,1577.1838538298,-2.56305423879132,0.291206474226932,-8.8015015654974,1.34997560092592e-18,9.61132628762927e-16
PID1,642.4820161038,-1.41620784364989,0.161399648584832,-8.7745410604505,1.71602254538941e-18,1.15160267645634e-15
NFIX,7494.34785656598,-1.02892745813368,0.117281377552897,-8.77315290459999,1.73731871285616e-18,1.15160267645634e-15
PPP1R9A,716.387839005712,-1.89015521908512,0.215699105417696,-8.76292562931535,1.90247180880628e-18,1.2190405193561e-15
ADAMTSL1,2257.35119713597,-1.10179721604256,0.125997737805615,-8.74457934905452,2.23848023645903e-18,1.38807437372425e-15
DDAH2,830.538882202592,-0.800965736330953,0.0924348404458015,-8.66519304266656,4.50748579158059e-18,2.70773123036106e-15
IL18,335.925896997798,1.54644533820732,0.17889434942441,8.64446162320377,5.40595799356687e-18,3.14905243970715e-15
LTBP4,11602.3988820081,-1.66449420895959,0.193104554680855,-8.61965276640167,6.71574496773956e-18,3.79696369161346e-15
GSTP1,2344.73056523455,-0.932507392246234,0.108318506667689,-8.60893877633563,7.3740016724786e-18,4.05001240428732e-15
AKAP1,2343.08095493863,-1.01003569072463,0.118600425372812,-8.51629062500965,1.64745092024706e-17,8.7969302888637e-15
SEMA3D,1144.89511692494,-1.88443233513956,0.22267956542527,-8.46252924708517,2.61640095791971e-17,1.3593263679484e-14
MAN2B2,2101.67517961041,-0.817466467693376,0.0966649592579681,-8.45669903518832,2.75052603894897e-17,1.39140426438726e-14
TACC2,5532.613940099,-1.34813261646435,0.160905235011488,-8.37842607400622,5.36401570244448e-17,2.64390958584847e-14
GREB1L,1035.79377251712,-1.53161978665453,0.182965331030442,-8.37109291704943,5.70862728732148e-17,2.73182271702653e-14
PCLO,1602.92522218678,-2.53888323341614,0.30342809448567,-8.3673307764059,5.89380770737124e-17,2.73182271702653e-14
PAG1,607.512151519672,1.37831433757849,0.164755004099358,8.36584202776193,5.96871217370413e-17,2.73182271702653e-14
NCAM1,708.726405223262,-1.87018134314014,0.223696450089783,-8.36035324829485,6.25307376219544e-17,2.79240605230486e-14
TEX28,3.02916677151554,26.5136141181472,3.17233197102409,8.35776783776764,6.39160725700536e-17,2.79240605230486e-14
SPHKAP,61.8649451554179,-4.27796035790524,0.512891518333596,-8.34086781509761,7.3747296831581e-17,3.15032063776329e-14
KIAA1033,13185.5402765217,0.515296777983236,0.06190136837092,8.32448121171602,8.46988625514808e-17,3.53949181484155e-14
AR,1313.54598826997,-1.47200870358707,0.176965909205538,-8.31803543516054,8.94332779539177e-17,3.65782106831523e-14
RASSF4,784.894220289384,1.49235367903585,0.180584689892571,8.26400997738871,1.40858832747239e-16,5.64110279562535e-14
EMD,1213.67924646413,-0.661847673713685,0.0801293346748037,-8.25974253249103,1.45987017333611e-16,5.72716006980407e-14
SMTN,3364.16153607136,-1.3550169495124,0.164511670007492,-8.23660078005828,1.77172445581597e-16,6.81157184283007e-14
CNTN4,2533.54268509446,-1.63639543522399,0.198891645331386,-8.22757251817937,1.91045471239983e-16,7.20091586989451e-14
CASZ1,722.282823783821,-1.20713641493531,0.146857763234152,-8.219765767579,2.03901025647523e-16,7.28737882944979e-14
