search_term	match_term	match_type	gene	drug	interaction_types	sources	pmids
IL23R	IL23R	Definite	IL23R	CELECOXIB	""	PharmGKB	23778325
CR2	CR2	Definite	CR2	PROGESTERONE	""	NCI	9141535
EPHA6	EPHA6	Definite	EPHA6	HESPERADIN	inhibitor	DTC	19035792
EPHA6	EPHA6	Definite	EPHA6	VANDETANIB	inhibitor	ChemblInteractions	""
EPHA6	EPHA6	Definite	EPHA6	FOSTAMATINIB	inhibitor	DrugBank	26516587
CCL20	CCL20	Definite	CCL20	GSK-3050002	""	TTD	""
BLK	BLK	Definite	BLK	CEP-11981	inhibitor	GuideToPharmacology	""
BLK	BLK	Definite	BLK	IBRUTINIB	inhibitor	GuideToPharmacology	""
BLK	BLK	Definite	BLK	ILORASERTIB	inhibitor	DTC|ChemblInteractions	""
BLK	BLK	Definite	BLK	DASATINIB	inhibitor	ChemblInteractions	""
BLK	BLK	Definite	BLK	XL-228	inhibitor	ChemblInteractions	""
BLK	BLK	Definite	BLK	ACALABRUTINIB	inhibitor	GuideToPharmacology	""
BLK	BLK	Definite	BLK	NINTEDANIB	inhibitor	TALC	""
BLK	BLK	Definite	BLK	ENMD-981693	inhibitor	ChemblInteractions	""
BLK	BLK	Definite	BLK	TG100-801	inhibitor	ChemblInteractions	""
BLK	BLK	Definite	BLK	HESPERADIN	inhibitor	DTC	19035792
BLK	BLK	Definite	BLK	ZANUBRUTINIB	inhibitor	DrugBank	31340982|31381333
BLK	BLK	Definite	BLK	FOSTAMATINIB	inhibitor	DrugBank	26516587
BLK	BLK	Definite	BLK	ALISERTIB	""	DTC	""
BLK	BLK	Definite	BLK	MLN-8054	""	DTC	""
BLK	BLK	Definite	BLK	GEFITINIB	""	DTC	""
BLK	BLK	Definite	BLK	ENTRECTINIB	""	DTC	""
BLK	BLK	Definite	BLK	GO-6976	""	DTC	""
BLK	BLK	Definite	BLK	SP-600125	""	DTC	""
BLK	BLK	Definite	BLK	TAE-684	""	DTC	""
BLK	BLK	Definite	BLK	DOVITINIB	""	DTC	""
BLK	BLK	Definite	BLK	LINIFANIB	""	DTC	""
BLK	BLK	Definite	BLK	R-406	""	DTC	""
BLK	BLK	Definite	BLK	CENISERTIB	""	DTC	""
BLK	BLK	Definite	BLK	LAUROGUADINE	""	DTC	""
BLK	BLK	Definite	BLK	ENMD-2076	""	TdgClinicalTrial	""
BLK	BLK	Definite	BLK	GW441756X	""	DTC	""
BLK	BLK	Definite	BLK	CEDIRANIB	""	DTC	""
BLK	BLK	Definite	BLK	PF-00562271	""	DTC	""
BLK	BLK	Definite	BLK	AZD-1152-HQPA	""	DTC	""
BLK	BLK	Definite	BLK	TOZASERTIB	""	DTC	""
BLK	BLK	Definite	BLK	OSI-632	""	DTC	""
BLK	BLK	Definite	BLK	CHEMBL2005186	""	DTC	""
BLK	BLK	Definite	BLK	RG-1530	""	DTC	""
BLK	BLK	Definite	BLK	CYC-116	""	DTC	""
BLK	BLK	Definite	BLK	CHEMBL578061	""	DTC	""
BLK	BLK	Definite	BLK	ERLOTINIB	""	DTC	""
BLK	BLK	Definite	BLK	SORAFENIB	""	DTC	""
BLK	BLK	Definite	BLK	ALSTERPAULLONE	""	DTC	""
TNFRSF9	TNFRSF9	Definite	TNFRSF9	UTOMILUMAB	antibody	GuideToPharmacology|TTD	""
