Annotation Cluster 1	Enrichment Score: 4.213320636378975
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0048584~positive regulation of response to stimulus	24	66.66666666666666	1.6348024624573297E-13	BLK, GBP5, CR2, CXCL9, IL26, CCL20, IL23R, IL24, GZMB, CARTPT, CXCL13, ADRA2C, CXCL5, IL1A, IGLL5, CXCL10, CD79A, CXCL11, IFNG, CCL7, IRF4, CCL1, DRD2, IDO1	36	2030	16650	5.467980295566503	3.1720759352538153E-10	7.500410020398358E-11	6.557059481750316E-11
GOTERM_MF_FAT	GO:0005102~receptor binding	19	52.77777777777778	1.6344710108433888E-10	BLK, CXCL9, IL26, CCL20, IL23R, IL24, CARTPT, CXCL13, ADRA2C, CXCL5, IL1A, IGLL5, CXCL10, CXCL11, IFNG, CCL7, CCL1, DRD2, IL17D	35	1462	15478	5.747156537033418	2.9257038458574414E-8	5.8840956390362E-9	5.491822596433787E-9
GOTERM_BP_FAT	GO:1902533~positive regulation of intracellular signal transduction	14	38.88888888888889	1.8272203042457048E-8	CXCL9, IL26, CCL20, IL23R, IL24, CARTPT, ADRA2C, IL1A, CXCL10, CXCL11, IFNG, CCL7, CCL1, DRD2	36	915	16650	7.076502732240437	3.546571758650252E-5	1.6112760864712125E-6	1.408620743636689E-6
GOTERM_BP_FAT	GO:0010647~positive regulation of cell communication	17	47.22222222222222	2.256285685839937E-8	BLK, SNAP25, CXCL9, IL26, CCL20, IL23R, IL24, GZMB, CARTPT, ADRA2C, IL1A, CXCL10, CXCL11, IFNG, CCL7, CCL1, DRD2	36	1555	16650	5.056270096463022	4.3793546587456156E-5	1.9031279263171642E-6	1.6637654448628406E-6
GOTERM_BP_FAT	GO:0023056~positive regulation of signaling	17	47.22222222222222	2.427496491231253E-8	BLK, SNAP25, CXCL9, IL26, CCL20, IL23R, IL24, GZMB, CARTPT, ADRA2C, IL1A, CXCL10, CXCL11, IFNG, CCL7, CCL1, DRD2	36	1563	16650	5.030390275111964	4.711659747358432E-5	1.9622263304119295E-6	1.715430853803419E-6
GOTERM_BP_FAT	GO:0010562~positive regulation of phosphorus metabolic process	14	38.88888888888889	9.18552670969574E-8	CXCL9, IL26, CCL20, IL23R, IL24, CARTPT, ADRA2C, IL1A, CXCL10, CXCL11, IFNG, CCL7, CCL1, DRD2	36	1049	16650	6.17254528122021	1.7827518864010905E-4	5.133306663889142E-6	4.487674279358755E-6
GOTERM_BP_FAT	GO:0045937~positive regulation of phosphate metabolic process	14	38.88888888888889	9.18552670969574E-8	CXCL9, IL26, CCL20, IL23R, IL24, CARTPT, ADRA2C, IL1A, CXCL10, CXCL11, IFNG, CCL7, CCL1, DRD2	36	1049	16650	6.17254528122021	1.7827518864010905E-4	5.133306663889142E-6	4.487674279358755E-6
GOTERM_BP_FAT	GO:0009967~positive regulation of signal transduction	15	41.66666666666667	4.523232637751146E-7	CXCL9, IL26, CCL20, IL23R, IL24, GZMB, CARTPT, ADRA2C, IL1A, CXCL10, CXCL11, IFNG, CCL7, CCL1, DRD2	36	1428	16650	4.858193277310924	8.775743596561858E-4	2.1402612968871278E-5	1.8710737935673032E-5
GOTERM_BP_FAT	GO:0010646~regulation of cell communication	19	52.77777777777778	8.239553427562496E-6	BLK, SNAP25, CXCL9, IL26, CCL20, IL23R, IL24, GZMB, CARTPT, ADRA2C, IL1A, CXCL10, CXCL11, IFNG, CCL7, CNR2, IRF4, CCL1, DRD2	36	3020	16650	2.9097682119205297	0.015865829499866813	2.3166280651407597E-4	2.0252583497313033E-4
GOTERM_BP_FAT	GO:0001934~positive regulation of protein phosphorylation	11	30.555555555555557	9.779901940864965E-6	IL1A, IFNG, CCL7, IL26, CCL20, IL23R, IL24, CCL1, CARTPT, DRD2, ADRA2C	36	890	16650	5.716292134831461	0.01880384226854226	2.5990424335997305E-4	2.2721525605078058E-4
