source	isgene
IL23R	1
CR2	1
IGLL5	1
EPHA6	1
CXCL11	1
CXCL5	1
CCL20	1
IL17D	1
MZB1	1
BLK	1
TNFRSF9	1
IDO1	1
CCL7	1
CNR2	1
OLR1	1
S1PR5	1
CARTPT	1
IL1A	1
DRD2	1
IL26	1
IL24	1
CCL1	1
CXCL9	1
CD79A	1
ADRA2C	1
GBP5	1
GAD1	1
CLEC5A	1
POU2AF1	1
CXCL10	1
SNAP25	1
IL4I1	1
CXCL13	1
IFNG	1
GZMB	1
IRF4	1
CELECOXIB	2
PROGESTERONE	2
HESPERADIN	2
VANDETANIB	2
FOSTAMATINIB	2
GSK-3050002	2
CEP-11981	2
IBRUTINIB	2
ILORASERTIB	2
DASATINIB	2
XL-228	2
ACALABRUTINIB	2
NINTEDANIB	2
ENMD-981693	2
TG100-801	2
ZANUBRUTINIB	2
ALISERTIB	2
MLN-8054	2
GEFITINIB	2
ENTRECTINIB	2
GO-6976	2
SP-600125	2
TAE-684	2
DOVITINIB	2
LINIFANIB	2
R-406	2
CENISERTIB	2
LAUROGUADINE	2
ENMD-2076	2
GW441756X	2
CEDIRANIB	2
PF-00562271	2
AZD-1152-HQPA	2
TOZASERTIB	2
OSI-632	2
CHEMBL2005186	2
RG-1530	2
CYC-116	2
CHEMBL578061	2
ERLOTINIB	2
SORAFENIB	2
ALSTERPAULLONE	2
UTOMILUMAB	2
URELUMAB	2
LINRODOSTAT	2
EPACADOSTAT	2
NECROSTATIN	2
NORHARMANE	2
PF-06840003	2
TRYPTANTHRIN	2
NAVOXIMOD	2
NABIXIMOLS	2
CANNABIDIOL	2
PHENYLHYDRAZINE	2
CHEMBL1933308	2
CHEMBL1224312	2
CHEMBL14145	2
TRYPTOPHAN	2
2-MERCAPTOBENZOTHIAZOLE	2
CHEMBL1668301	2
CHEMBL561013	2
TEDALINAB	2
IBIPINABANT	2
GW842166X	2
NABILONE	2
ANANDAMIDE	2
LENABASUM	2
NONABINE	2
CHEMBL371214	2
OLORINAB	2
SURINABANT	2
PRS-211375	2
CHEMBL181633	2
TARANABANT	2
LY2828360	2
2-ARACHIDONOYLGLYCEROL	2
DRONABINOL	2
DEXANABINOL	2
SAD448	2
CHEMBL497392	2
CHEMBL1354658	2
LASOFOXIFENE	2
TETRAHYDROCANNABIVARIN	2
CHEMBL285932	2
CHEMBL306764	2
HONOKIOL	2
"N-[6-(4-CHLOROPHENYL)-7-(2,4-DICHLOROPHENYL)-2,2-DIMETHYL-3,4-DIHYDRO-2H-PYRANO[2,3-B]PYRIDINE-4-YL]-4,4,4-TRIFLUORO-3-HYDROXYBUTANAMIDE (DIASTEREOMERIC MIX)"	2
CP-55940	2
FERRUGINENE C	2
CHEMBL3186422	2
S-777469	2
WIN-552122	2
FINGOLIMOD	2
OZANIMOD	2
SIPONIMOD	2
FINGOLIMOD HYDROCHLORIDE	2
PONESIMOD	2
AMISELIMOD HYDROCHLORIDE	2
ETRASIMOD	2
ASP-4058	2
AMPHETAMINE	2
DEXAMETHASONE	2
INSULIN	2
BERMEKIMAB	2
RILONACEPT	2
OLANZAPINE	2
AMG-108	2
HYDROXYCHLOROQUINE	2
MABP1	2
ASENAPINE MALEATE	2
SULPIRIDE	2
ILOPERIDONE	2
MEMANTINE	2
FLUPENTIXOL	2
HALOPERIDOL	2
SUMANIROLE	2
PEROSPIRONE	2
CHLORPROMAZINE	2
ZIPRASIDONE HYDROCHLORIDE	2
DOPAMINE	2
CARPHENAZINE MALEATE	2
FLUPHENAZINE DECANOATE	2
QUETIAPINE	2
BREXPIPRAZOLE	2
LEVODOPA	2
PRAMIPEXOLE	2
