source	isgene
IL23R	1
CR2	1
IGLL5	1
EPHA6	1
CXCL11	1
CXCL5	1
CCL20	1
IL17D	1
MZB1	1
BLK	1
TNFRSF9	1
IDO1	1
CCL7	1
CNR2	1
OLR1	1
S1PR5	1
CARTPT	1
IL1A	1
DRD2	1
IL26	1
IL24	1
CCL1	1
CXCL9	1
CD79A	1
ADRA2C	1
GBP5	1
GAD1	1
CLEC5A	1
POU2AF1	1
CXCL10	1
SNAP25	1
IL4I1	1
CXCL13	1
IFNG	1
GZMB	1
IRF4	1
PROGESTERONE	2
FOSTAMATINIB	2
VANDETANIB	2
NINTEDANIB	2
ERLOTINIB	2
DASATINIB	2
SORAFENIB	2
ACALABRUTINIB	2
GEFITINIB	2
IBRUTINIB	2
CANNABIDIOL	2
LASOFOXIFENE	2
DRONABINOL	2
NABILONE	2
FINGOLIMOD HYDROCHLORIDE	2
FINGOLIMOD	2
SIPONIMOD	2
INSULIN	2
AMPHETAMINE	2
DEXAMETHASONE	2
OLANZAPINE	2
RILONACEPT	2
HYDROXYCHLOROQUINE	2
ASENAPINE	2
NORTRIPTYLINE	2
TOLAZOLINE	2
TRIMIPRAMINE	2
PIPERACETAZINE	2
DOPAMINE	2
BROMOCRIPTINE	2
BREXPIPRAZOLE	2
MIANSERIN	2
ROPINIROLE	2
DAPIPRAZOLE	2
DOMPERIDONE	2
BROMPERIDOL	2
ARIPIPRAZOLE LAUROXIL	2
PROMETHAZINE	2
MAPROTILINE	2
ZIPRASIDONE	2
CABERGOLINE	2
THIETHYLPERAZINE	2
TETRABENAZINE	2
LAMOTRIGINE	2
ERGOLOID MESYLATES	2
ROPINIROLE HYDROCHLORIDE	2
PIMAVANSERIN	2
CARPHENAZINE	2
NICOTINE	2
TRIFLUPROMAZINE HYDROCHLORIDE	2
LISURIDE	2
FLUPHENAZINE DECANOATE	2
ERGONOVINE	2
DIHYDROERGOTAMINE	2
QUETIAPINE	2
ERGOTAMINE	2
CLOZAPINE	2
ALCOHOL	2
LEVODOPA	2
MORPHINE	2
ESCITALOPRAM	2
METHYLDOPA	2
PROPIOMAZINE	2
PROMAZINE HYDROCHLORIDE	2
ACETOPHENAZINE MALEATE	2
DIACETYLMORPHINE	2
THIOTHIXENE	2
SUMATRIPTAN	2
PERPHENAZINE	2
APOMORPHINE	2
PRAMIPEXOLE	2
APOMORPHINE HYDROCHLORIDE	2
CHLORPROMAZINE HYDROCHLORIDE	2
METHYLPHENIDATE	2
PIMOZIDE	2
ZOTEPINE	2
BENPERIDOL	2
MEPHENTERMINE	2
CHLORPROMAZINE	2
MOLINDONE HYDROCHLORIDE	2
DESIPRAMINE	2
MESORIDAZINE BESYLATE	2
COCAINE	2
PAROXETINE	2
CARIPRAZINE HYDROCHLORIDE	2
FLUPHENAZINE	2
LOXAPINE	2
SULPIRIDE	2
PHENYLEPHRINE	2
CARIPRAZINE	2
LOXAPINE HYDROCHLORIDE	2
AMANTADINE	2
MEMANTINE	2
LURASIDONE HYDROCHLORIDE	2
MESORIDAZINE	2
PHENTOLAMINE	2
LURASIDONE	2
CHLORPROTHIXENE	2
BROMOCRIPTINE MESYLATE	2
FLUPHENAZINE ENANTHATE	2
AMOXAPINE	2
LEVOMEPROMAZINE	2
CINNARIZINE	2
METHADONE	2
PHENOXYBENZAMINE	2
DROPERIDOL	2
METARAMINOL	2
LOXAPINE SUCCINATE	2
EPHEDRINE	2
VILAZODONE	2
MOLINDONE	2
CARPHENAZINE MALEATE	2
HALOPERIDOL	2
TRIFLUOPERAZINE	2
PROCHLORPERAZINE EDISYLATE	2
RASAGILINE	2
HALOPERIDOL DECANOATE	2
