source	target
GZMB	IFNG
IFNG	IL1A
IFNG	CXCL11
IFNG	CXCL10
IFNG	IDO1
IFNG	CXCL9
IFNG	IL23R
IFNG	Aplastic Anemia
IFNG	Autistic Disorder
IFNG	Diabetes Mellitus, Experimental
IFNG	Diabetes Mellitus, Insulin-Dependent
IFNG	Sepsis
CD79A	IGLL5
CD79A	IRF4
CD79A	CR2
CD79A	POU2AF1
CD79A	BLK
CD79A	Agammaglobulinemia
CD79A	Diffuse Large B-Cell Lymphoma
IGLL5	BLK
IRF4	GBP5
IRF4	Chronic Lymphocytic Leukemia
IRF4	Multiple Myeloma
POU2AF1	MZB1
POU2AF1	Primary biliary cirrhosis
BLK	EPHA6
BLK	Rheumatoid Arthritis
BLK	Lupus Erythematosus, Systemic
BLK	Mucocutaneous Lymph Node Syndrome
BLK	Maturity onset diabetes mellitus in young
BLK	Maturity-onset diabetes of the young, type 11
CCL1	CXCL10
CCL1	CXCL5
CCL1	CXCL11
CCL1	CNR2
CCL1	ADRA2C
CCL1	DRD2
CCL1	CXCL9
CCL1	CCL20
CCL1	S1PR5
CCL1	CXCL13
CCL1	Glomerulonephritis
CXCL10	CXCL13
CXCL10	CXCL5
CXCL10	GBP5
CXCL10	CXCL11
CXCL10	ADRA2C
CXCL10	CCL7
CXCL10	S1PR5
CXCL10	IDO1
CXCL10	CNR2
CXCL10	DRD2
CXCL10	CXCL9
CXCL10	CCL20
CXCL10	Brain Ischemia
CXCL5	CXCL13
CXCL5	CXCL11
CXCL5	ADRA2C
CXCL5	CCL7
CXCL5	S1PR5
CXCL5	CNR2
CXCL5	DRD2
CXCL5	CXCL9
CXCL5	CCL20
CXCL11	CXCL13
CXCL11	ADRA2C
CXCL11	CCL7
CXCL11	S1PR5
CXCL11	CNR2
CXCL11	DRD2
CXCL11	CXCL9
CXCL11	CCL20
CNR2	CXCL13
CNR2	S1PR5
CNR2	CCL20
CNR2	DRD2
CNR2	CXCL9
CNR2	ADRA2C
CNR2	Depressive disorder
CNR2	Pancreatitis
ADRA2C	CXCL13
ADRA2C	S1PR5
ADRA2C	CCL20
ADRA2C	DRD2
ADRA2C	CXCL9
DRD2	CXCL13
DRD2	S1PR5
DRD2	CCL20
DRD2	CXCL9
DRD2	Cocaine Abuse
DRD2	Mental Depression
DRD2	Depressive disorder
DRD2	Dyskinesia, Drug-Induced
DRD2	Heroin Dependence
DRD2	Hyperprolactinemia
DRD2	Parkinson Disease
DRD2	Tachycardia
DRD2	Alcohol abuse
DRD2	Cocaine-Related Disorders
DRD2	Parkinsonian Disorders
DRD2	Mood Disorders
DRD2	Cocaine Dependence
DRD2	Major Depressive Disorder
DRD2	Myoclonic dystonia
CXCL9	CXCL13
CXCL9	S1PR5
CXCL9	CCL20
CXCL9	GBP5
CXCL9	CCL7
CXCL9	IDO1
CCL20	IL1A
CCL20	CXCL13
CCL20	S1PR5
CCL20	CCL7
CCL20	Ulcerative Colitis
S1PR5	CXCL13
IL26	IL24
IL24	IL23R
IDO1	IL4I1
IDO1	TNFRSF9
IL23R	IL17D
IL23R	Ulcerative Colitis
IL23R	Crohn Disease
IL23R	Inflammatory Bowel Diseases
IL23R	Psoriasis
IL23R	Ankylosing spondylitis
SNAP25	OLR1
SNAP25	GAD1
SNAP25	CLEC5A
SNAP25	Bipolar Disorder
SNAP25	Depressive disorder
SNAP25	Diabetes Mellitus, Non-Insulin-Dependent
SNAP25	Congenital Myasthenic Syndromes, Presynaptic
SNAP25	MYASTHENIC SYNDROME, CONGENITAL, 18
OLR1	CLEC5A
OLR1	Hypertensive disease
OLR1	Myocardial Infarction
GAD1	IL4I1
GAD1	Bipolar Disorder
GAD1	Major Depressive Disorder
GAD1	Cerebral Palsy, Spastic Quadriplegic, 1
CARTPT	TNFRSF9
CARTPT	Cocaine Abuse
CARTPT	Obesity
CR2	Common Variable Immunodeficiency
CR2	Lupus Erythematosus, Systemic
CCL7	Glomerulonephritis
CCL7	Nephritis, Interstitial
