Annotation Cluster 1	Enrichment Score: 7.365080097353325
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006952~defense response	32	45.714285714285715	1.9720879872405555E-15	BLK, CXCL9, IL26, IL23R, IL24, CXCL13, CXCL5, PSMA8, CCL7, CNR2, UBD, CLEC5A, SPP1, OLR1, CCL1, DRD2, CAMP, GBP5, CR2, CCL20, TNFRSF9, APOA1, GZMB, LYZ, IL1A, IGLL5, CXCL10, CXCL11, IFNG, IRF4, IL17D, IDO1	68	1518	16650	5.161590327830737	5.061950858475939E-12	4.577526682357409E-12	4.201489735307511E-12
GOTERM_BP_FAT	GO:0006955~immune response	32	45.714285714285715	3.615739875479786E-15	BLK, PIGR, CXCL9, IL26, IL23R, IL24, CXCL13, CXCL5, PSMA8, CD79A, CCL7, CNR2, UBD, CLEC5A, CCL1, DRD2, CAMP, GBP5, CR2, CCL20, TNFRSF9, APOA1, GZMB, CHIT1, IL1A, IGLL5, CXCL10, CXCL11, IFNG, IRF4, POU2AF1, IDO1	68	1551	16650	5.0517692570258275	9.280243240539221E-12	4.577526682357409E-12	4.201489735307511E-12
GOTERM_BP_FAT	GO:0006954~inflammatory response	22	31.428571428571427	3.1009823594851716E-14	GBP5, CXCL9, IL26, CCL20, IL23R, TNFRSF9, IL24, APOA1, CXCL13, LYZ, CXCL5, IL1A, CXCL10, CXCL11, CCL7, CNR2, SPP1, OLR1, CCL1, IL17D, CAMP, IDO1	68	637	16650	8.456459506879675	7.846023830637705E-11	2.6172291114054848E-11	2.402227667814513E-11
GOTERM_MF_FAT	GO:0005125~cytokine activity	15	21.428571428571427	7.778127725031699E-14	CXCL9, IL26, CCL20, IL24, CXCL13, CXCL5, IL1A, CXCL10, CXCL11, IFNG, CCL7, SPP1, CCL1, IL17D, LEFTY2	60	222	15478	17.43018018018018	2.241407059955236E-11	2.247878912534161E-11	2.1856538907339074E-11
GOTERM_MF_FAT	GO:0005102~receptor binding	26	37.142857142857146	2.5119056094135365E-11	BLK, CXCL9, IL26, IL23R, IL24, DMP1, CXCL13, CXCL5, CCL7, SPP1, CCL1, DRD2, INSL3, LEFTY2, CCL20, AMBN, FGG, APOA1, CARTPT, ADRA2C, IL1A, IGLL5, CXCL10, CXCL11, IFNG, IL17D	60	1462	15478	4.58764249886001	7.2342771773037384E-9	3.6297036056025604E-9	3.5292273812260187E-9
GOTERM_BP_FAT	GO:0048584~positive regulation of response to stimulus	31	44.285714285714285	3.2648368006982296E-11	BLK, CXCL9, IL26, IL23R, IL24, CXCL13, CXCL5, PSMA8, CD79A, CCL7, UBD, CCL1, DRD2, INSL3, LEFTY2, GBP5, CR2, ENDOG, CCL20, FGG, APOA1, GZMB, CARTPT, ADRA2C, IL1A, IGLL5, CXCL10, CXCL11, IFNG, IRF4, IDO1	68	2030	16650	3.73913358446827	8.269821261119858E-8	2.0666416948419795E-8	1.8968701812056714E-8
GOTERM_BP_FAT	GO:0034097~response to cytokine	20	28.57142857142857	2.0617112775193446E-10	GBP5, CXCL9, ENDOG, CCL20, IL23R, TNFRSF9, IL24, APOA1, CXCL13, CXCL5, PSMA8, IL1A, CXCL10, CXCL11, IFNG, CCL7, IRF4, UBD, CCL1, CAMP	68	802	16650	6.1060583834531315	5.222312098318582E-7	1.0440505909357961E-7	9.582834017909914E-8
GOTERM_MF_FAT	GO:0005126~cytokine receptor binding	13	18.571428571428573	3.815510986285717E-10	CXCL9, CCL20, IL23R, CXCL13, CXCL5, IL1A, CXCL10, CXCL11, IFNG, CCL7, CCL1, IL17D, LEFTY2	60	273	15478	12.284126984126985	1.0988671772516057E-7	3.6756089167885735E-8	3.573861957154289E-8
GOTERM_MF_FAT	GO:0008009~chemokine activity	8	11.428571428571429	6.140754861060763E-10	CXCL10, CXCL11, CXCL9, CCL7, CCL20, CCL1, CXCL13, CXCL5	60	49	15478	42.117006802721086	1.768537161161987E-7	4.4366953871164014E-8	4.313880289895186E-8
GOTERM_BP_FAT	GO:0002682~regulation of immune system process	24	34.285714285714285	1.626477446012786E-9	BLK, GBP5, PIGR, CR2, CXCL9, CCL20, IL23R, APOA1, CARTPT, CXCL13, CXCL5, PSMA8, IL1A, IGLL5, CXCL10, CD79A, CXCL11, IFNG, CCL7, CNR2, IRF4, MZB1, DRD2, IDO1	68	1378	16650	4.264492444292666	4.119858763806938E-6	5.599395566905356E-7	5.139413624600335E-7
