Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005887~integral component of plasma membrane	21	22.82608696	1.07E-05	"RTN4R, SLC10A4, SNAP25, EPHA6, KCNB2, SLC6A15, KCNE5, GABRA4, PCDH11X, KCNK15, ADRA1D, SLC4A1, ATP1A2, ADRA2C, SLC8A2, SCN10A, VWC2, PROM1, SLC26A4, DRD2, LGR6"	64	1635	14527	2.915395642	0.002334822	0.001405878	0.001341389
GOTERM_BP_FAT	GO:0006836~neurotransmitter transport	8	8.695652174	1.26E-05	"SNAP25, RIMS4, PCLO, GAD1, SLC6A15, ATP1A2, DRD2, GFAP"	67	197	16650	10.09167361	0.024085044	0.024367085	0.023787816
GOTERM_CC_FAT	GO:0045202~synapse	14	15.2173913	1.71E-05	"SNAP25, PRR7, GAD1, GABRA4, IL31RA, ATP1A2, CDH8, SLC8A2, RIMS4, PCLO, DOK7, VWC2, GSG1L, DRD2"	64	755	14527	4.208981788	0.003710834	0.001405878	0.001341389
GOTERM_CC_FAT	GO:0031226~intrinsic component of plasma membrane	21	22.82608696	1.93E-05	"RTN4R, SLC10A4, SNAP25, EPHA6, KCNB2, SLC6A15, KCNE5, GABRA4, PCDH11X, KCNK15, ADRA1D, SLC4A1, ATP1A2, ADRA2C, SLC8A2, SCN10A, VWC2, PROM1, SLC26A4, DRD2, LGR6"	64	1701	14527	2.802276235	0.004208794	0.001405878	0.001341389
GOTERM_BP_FAT	GO:0006936~muscle contraction	9	9.782608696	4.72E-05	"SCN10A, ATP8A2, SMPX, KCNB2, KCNE5, ADRA1D, ATP1A2, DRD2, ADRA2C"	67	331	16650	6.757000496	0.087359843	0.033433911	0.0326391
GOTERM_BP_FAT	GO:0045664~regulation of neuron differentiation	11	11.95652174	6.62E-05	"RTN4R, SNAP25, SFRP1, ATP8A2, CNTN1, VWC2, SEMA3E, SOX8, ADRA2C, NTN1, GFAP"	67	560	16650	4.881396588	0.120266035	0.033433911	0.0326391
GOTERM_BP_FAT	GO:0050767~regulation of neurogenesis	12	13.04347826	6.91E-05	"RTN4R, SNAP25, SFRP1, ATP8A2, CNTN1, VWC2, SEMA3E, SOX8, DRD2, ADRA2C, NTN1, GFAP"	67	682	16650	4.372565326	0.125243208	0.033433911	0.0326391
GOTERM_BP_FAT	GO:0001505~regulation of neurotransmitter levels	7	7.608695652	1.28E-04	"SNAP25, RIMS4, PCLO, GAD1, ATP1A2, DRD2, GFAP"	67	197	16650	8.83021441	0.219568067	0.042898353	0.041878547
GOTERM_BP_FAT	GO:0044057~regulation of system process	10	10.86956522	1.59E-04	"SCN10A, KCNB2, KCNE5, KCNK15, ADRA1D, ATP1A2, CARTPT, DRD2, ADRA2C, SLC8A2"	67	504	16650	4.930703625	0.264359594	0.042898353	0.041878547
GOTERM_BP_FAT	GO:1903522~regulation of blood circulation	8	8.695652174	1.80E-04	"SCN10A, KCNE5, KCNK15, ADRA1D, ATP1A2, DRD2, ADRA2C, SLC8A2"	67	300	16650	6.626865672	0.294644082	0.042898353	0.041878547
GOTERM_BP_FAT	GO:0003012~muscle system process	9	9.782608696	1.91E-04	"SCN10A, ATP8A2, SMPX, KCNB2, KCNE5, ADRA1D, ATP1A2, DRD2, ADRA2C"	67	405	16650	5.52238806	0.309607811	0.042898353	0.041878547
GOTERM_BP_FAT	GO:0051960~regulation of nervous system development	12	13.04347826	2.00E-04	"RTN4R, SNAP25, SFRP1, ATP8A2, CNTN1, VWC2, SEMA3E, SOX8, DRD2, ADRA2C, NTN1, GFAP"	67	769	16650	3.877879782	0.320449174	0.042898353	0.041878547
GOTERM_CC_FAT	GO:0044456~synapse part	11	11.95652174	2.60E-04	"SNAP25, PRR7, RIMS4, PCLO, GAD1, GABRA4, IL31RA, ATP1A2, DRD2, CDH8, SLC8A2"	64	607	14527	4.113390651	0.05517329	0.014186589	0.013535828
GOTERM_BP_FAT	GO:0015711~organic anion transport	8	8.695652174	3.28E-04	"SLC10A4, SNAP25, SLC6A15, HBA2, SLC4A1, ATP1A2, SLC26A4, DRD2"	67	331	16650	6.006222663	0.470205254	0.063483333	0.061974168
GOTERM_BP_FAT	GO:0022008~neurogenesis	16	17.39130435	4.35E-04	"RTN4R, SNAP25, ATP8A2, LAMC3, SEMA3E, ADRA2C, NTN1, GFAP, POU3F4, SFRP1, DNER, VWC2, CNTN1, SOX8, PROM1, DRD2"	67	1447	16650	2.747836491	0.569618109	0.064401884	0.062870883
GOTERM_CC_FAT	GO:0097458~neuron part	16	17.39130435	4.54E-04	"RTN4R, SNAP25, ENDOG, ATP8A2, KCNB2, GAD1, IL31RA, ATP1A2, ADRA2C, CDH8, SLC8A2, RIMS4, PCLO, DNER, PROM1, DRD2"	64	1333	14527	2.724493623	0.094239998	0.019791688	0.018883812
GOTERM_MF_FAT	GO:0015077~monovalent inorganic cation transmembrane transporter activity	8	8.695652174	4.58E-04	"SLC10A4, SCN10A, KCNB2, SLC6A15, KCNE5, KCNK15, ATP1A2, SLC8A2"	62	353	15478	5.657680709	0.135537183	0.144807557	0.143899673
GOTERM_BP_FAT	GO:0060284~regulation of cell development	12	13.04347826	4.75E-04	"RTN4R, SNAP25, SFRP1, ATP8A2, CNTN1, VWC2, SEMA3E, SOX8, DRD2, ADRA2C, NTN1, GFAP"	67	851	16650	3.50421804	0.601195611	0.064401884	0.062870883
GOTERM_BP_FAT	GO:0006820~anion transport	9	9.782608696	5.05E-04	"SLC10A4, SNAP25, SLC6A15, GABRA4, HBA2, SLC4A1, ATP1A2, SLC26A4, DRD2"	67	468	16650	4.778989667	0.623685749	0.064401884	0.062870883
GOTERM_BP_FAT	GO:0007399~nervous system development	20	21.73913043	5.53E-04	"RTN4R, SNAP25, SH3GL3, ATP8A2, LAMC3, GABRA4, SEMA3E, NR0B1, ADRA2C, NTN1, GFAP, POU3F4, SFRP1, PCLO, DNER, VWC2, CNTN1, SOX8, PROM1, DRD2"	67	2170	16650	2.290391361	0.657206667	0.064401884	0.062870883
GOTERM_BP_FAT	GO:0098916~anterograde trans-synaptic signaling	10	10.86956522	5.99E-04	"SNAP25, RIMS4, PCLO, GAD1, ATP1A2, CARTPT, DRD2, CDH8, GFAP, SLC8A2"	67	604	16650	4.114361965	0.686570418	0.064401884	0.062870883
GOTERM_BP_FAT	GO:0099536~synaptic signaling	10	10.86956522	5.99E-04	"SNAP25, RIMS4, PCLO, GAD1, ATP1A2, CARTPT, DRD2, CDH8, GFAP, SLC8A2"	67	604	16650	4.114361965	0.686570418	0.064401884	0.062870883
GOTERM_BP_FAT	GO:0099537~trans-synaptic signaling	10	10.86956522	5.99E-04	"SNAP25, RIMS4, PCLO, GAD1, ATP1A2, CARTPT, DRD2, CDH8, GFAP, SLC8A2"	67	604	16650	4.114361965	0.686570418	0.064401884	0.062870883
GOTERM_BP_FAT	GO:0007268~chemical synaptic transmission	10	10.86956522	5.99E-04	"SNAP25, RIMS4, PCLO, GAD1, ATP1A2, CARTPT, DRD2, CDH8, GFAP, SLC8A2"	67	604	16650	4.114361965	0.686570418	0.064401884	0.062870883
GOTERM_BP_FAT	GO:0015672~monovalent inorganic cation transport	9	9.782608696	6.47E-04	"SLC10A4, SCN10A, KCNB2, SLC6A15, KCNE5, CNTN1, KCNK15, ATP1A2, SLC8A2"	67	486	16650	4.60199005	0.714242676	0.065339606	0.063786313
GOTERM_BP_FAT	GO:0007267~cell-cell signaling	16	17.39130435	7.16E-04	"SNAP25, GAD1, KCNE5, ADRA1D, ATP1A2, CARTPT, ADRA2C, CDH8, GFAP, SLC8A2, SCN10A, SFRP1, RIMS4, PCLO, DRD2, LGR6"	67	1517	16650	2.621041136	0.750202381	0.065339606	0.063786313
GOTERM_BP_FAT	GO:0048699~generation of neurons	15	16.30434783	7.36E-04	"RTN4R, SNAP25, ATP8A2, SEMA3E, ADRA2C, NTN1, GFAP, POU3F4, SFRP1, DNER, VWC2, CNTN1, SOX8, PROM1, DRD2"	67	1357	16650	2.746950582	0.75941223	0.065339606	0.063786313
GOTERM_BP_FAT	GO:0050769~positive regulation of neurogenesis	8	8.695652174	8.31E-04	"ATP8A2, CNTN1, VWC2, SOX8, DRD2, ADRA2C, NTN1, GFAP"	67	387	16650	5.137105172	0.800092739	0.065339606	0.063786313
GOTERM_BP_FAT	GO:0008015~blood circulation	9	9.782608696	8.41E-04	"SCN10A, KCNE5, KCNK15, ADRA1D, ATP1A2, CARTPT, DRD2, ADRA2C, SLC8A2"	67	506	16650	4.42009321	0.803869476	0.065339606	0.063786313
GOTERM_BP_FAT	GO:0060291~long-term synaptic potentiation	4	4.347826087	8.52E-04	"SNAP25, DRD2, GFAP, SLC8A2"	67	47	16650	21.14957129	0.807840305	0.065339606	0.063786313
GOTERM_BP_FAT	GO:0045595~regulation of cell differentiation	16	17.39130435	8.60E-04	"RTN4R, SNAP25, ATP8A2, SEMA3E, NR0B1, CARTPT, ADRA2C, NTN1, GFAP, BTC, SFRP1, VWC2, CNTN1, SOX8, PROM1, DRD2"	67	1544	16650	2.575206867	0.810976633	0.065339606	0.063786313
GOTERM_BP_FAT	GO:0003013~circulatory system process	9	9.782608696	8.85E-04	"SCN10A, KCNE5, KCNK15, ADRA1D, ATP1A2, CARTPT, DRD2, ADRA2C, SLC8A2"	67	510	16650	4.385425812	0.819891254	0.065339606	0.063786313
GOTERM_BP_FAT	GO:0030182~neuron differentiation	14	15.2173913	9.12E-04	"RTN4R, SNAP25, ATP8A2, SEMA3E, ADRA2C, NTN1, GFAP, POU3F4, SFRP1, VWC2, CNTN1, SOX8, PROM1, DRD2"	67	1226	16650	2.837768742	0.82896485	0.065339606	0.063786313
GOTERM_BP_FAT	GO:0006814~sodium ion transport	6	6.52173913	0.001148074	"SLC10A4, SCN10A, SLC6A15, CNTN1, ATP1A2, SLC8A2"	67	199	16650	7.492687317	0.891818893	0.079340128	0.077454006
GOTERM_BP_FAT	GO:0010975~regulation of neuron projection development	8	8.695652174	0.001212992	"RTN4R, SNAP25, SFRP1, ATP8A2, CNTN1, SEMA3E, NTN1, GFAP"	67	413	16650	4.813703878	0.904609569	0.080935814	0.079011758
