Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006955~immune response	42	26.92307692	2.54E-14	"BLK, PIGR, ADAMDEC1, CXCL9, IL26, IL23R, IL24, CXCL13, CXCL5, PSMA8, FCRLB, CD79A, CCL7, CNR2, LAMP3, UBD, CLEC5A, SLAMF7, CCL1, CCR6, HLA-DOB, CAMP, GBP5, CR2, CCL20, TNFRSF9, APOA1, GZMB, AICDA, CHIT1, IL1A, IGLL5, CXCL10, MARCO, CXCL11, AIM2, IFNG, IRF4, POU2AF1, CLEC6A, ULBP1, IDO1"	119	1551	16650	3.788826943	6.63E-11	6.65E-11	6.46E-11
GOTERM_BP_FAT	GO:0006952~defense response	39	25	1.71E-12	"BLK, CXCL9, IL26, IL23R, SP140, IL24, LPO, CXCL13, CXCL5, PSMA8, CCL7, CNR2, UBD, CLEC5A, SPP1, SLAMF7, OLR1, CCL1, CCR6, CAMP, GBP5, CR2, PLA2G2D, CCL20, TNFRSF9, APOA1, GZMB, LYZ, IL1A, IGLL5, CXCL10, MARCO, CXCL11, AIM2, IFNG, IRF4, CLEC6A, ULBP1, IDO1"	119	1518	16650	3.594678978	4.49E-09	2.25E-09	2.18E-09
GOTERM_BP_FAT	GO:0006954~inflammatory response	24	15.38461538	9.84E-11	"GBP5, PLA2G2D, CXCL9, IL26, CCL20, IL23R, TNFRSF9, IL24, APOA1, CXCL13, LYZ, CXCL5, IL1A, CXCL10, CXCL11, AIM2, CCL7, CNR2, SPP1, OLR1, CCL1, CCR6, CAMP, IDO1"	119	637	16650	5.271559173	2.58E-07	8.60E-08	8.36E-08
GOTERM_MF_FAT	GO:0005125~cytokine activity	14	8.974358974	7.44E-09	"CXCL9, IL26, CCL20, IL24, CXCL13, CXCL5, IL1A, CXCL10, CXCL11, IFNG, CCL7, SPP1, VSTM1, CCL1"	113	222	15478	8.637965399	3.03E-06	3.03E-06	2.97E-06
GOTERM_BP_FAT	GO:0002682~regulation of immune system process	31	19.87179487	1.86E-08	"BLK, PIGR, CXCL9, IL23R, CXCL13, CXCL5, PSMA8, FCRLB, CD79A, CCL7, CNR2, SLAMF7, CCR6, HLA-DOB, GBP5, CR2, PLA2G2D, CCL20, APOA1, IL1A, IGLL5, CXCL10, MARCO, CXCL11, AIM2, IFNG, IRF4, CLEC6A, MZB1, ULBP1, IDO1"	119	1378	16650	3.147601566	4.88E-05	1.22E-05	1.18E-05
GOTERM_BP_FAT	GO:0034097~response to cytokine	23	14.74358974	4.11E-08	"GBP5, CXCL9, CCL20, IL23R, TNFRSF9, IL24, APOA1, CXCL13, CXCL5, PSMA8, IL1A, CXCL10, CXCL11, KRT18, AIM2, IFNG, CCL7, IRF4, LAMP3, UBD, CCL1, CCR6, CAMP"	119	802	16650	4.012552652	1.08E-04	2.16E-05	2.10E-05
GOTERM_MF_FAT	GO:0008009~chemokine activity	8	5.128205128	5.75E-08	"CXCL10, CXCL11, CXCL9, CCL7, CCL20, CCL1, CXCL13, CXCL5"	113	49	15478	22.36301246	2.34E-05	1.17E-05	1.15E-05
GOTERM_BP_FAT	GO:0071345~cellular response to cytokine stimulus	21	13.46153846	1.10E-07	"GBP5, CXCL9, CCL20, IL23R, TNFRSF9, IL24, APOA1, CXCL13, CXCL5, PSMA8, IL1A, CXCL10, CXCL11, KRT18, AIM2, IFNG, CCL7, IRF4, CCL1, CCR6, CAMP"	119	706	16650	4.161806366	2.89E-04	4.32E-05	4.20E-05
GOTERM_BP_FAT	GO:0070098~chemokine-mediated signaling pathway	9	5.769230769	1.15E-07	"CXCL10, CXCL11, CXCL9, CCL7, CCL20, CCL1, CCR6, CXCL13, CXCL5"	119	82	16650	15.35663046	3.02E-04	4.32E-05	4.20E-05
GOTERM_BP_FAT	GO:0032496~response to lipopolysaccharide	14	8.974358974	2.25E-07	"CXCL9, CCL20, IL23R, TNFRSF9, IL24, CXCL13, AICDA, CXCL5, CXCL10, CXCL11, IFNG, CNR2, CAMP, IDO1"	119	302	16650	6.486170627	5.90E-04	7.37E-05	7.16E-05
GOTERM_BP_FAT	GO:0050663~cytokine secretion	11	7.051282051	2.70E-07	"IL1A, GBP5, AIM2, IFNG, IL26, TNFRSF9, CLEC6A, CLEC5A, APOA1, ALOX15B, CAMP"	119	165	16650	9.327731092	7.08E-04	7.40E-05	7.20E-05
GOTERM_BP_FAT	GO:0009617~response to bacterium	18	11.53846154	2.83E-07	"CXCL9, CCL20, IL23R, TNFRSF9, IL24, LPO, CXCL13, LYZ, AICDA, CXCL5, CHIT1, IGLL5, CXCL10, CXCL11, IFNG, CNR2, CAMP, IDO1"	119	544	16650	4.629572417	7.40E-04	7.40E-05	7.20E-05
GOTERM_MF_FAT	GO:0042379~chemokine receptor binding	8	5.128205128	3.41E-07	"CXCL10, CXCL11, CXCL9, CCL7, CCL20, CCL1, CXCL13, CXCL5"	113	63	15478	17.39345414	1.39E-04	4.63E-05	4.54E-05
GOTERM_BP_FAT	GO:0019221~cytokine-mediated signaling pathway	18	11.53846154	3.65E-07	"CXCL9, CCL20, IL23R, TNFRSF9, APOA1, CXCL13, CXCL5, PSMA8, IL1A, CXCL10, CXCL11, KRT18, AIM2, IFNG, CCL7, IRF4, CCL1, CCR6"	119	554	16650	4.546006128	9.56E-04	8.25E-05	8.02E-05
GOTERM_BP_FAT	GO:0002237~response to molecule of bacterial origin	14	8.974358974	3.78E-07	"CXCL9, CCL20, IL23R, TNFRSF9, IL24, CXCL13, AICDA, CXCL5, CXCL10, CXCL11, IFNG, CNR2, CAMP, IDO1"	119	316	16650	6.198808637	9.90E-04	8.25E-05	8.02E-05
GOTERM_BP_FAT	GO:0002684~positive regulation of immune system process	23	14.74358974	9.08E-07	"BLK, GBP5, CR2, CXCL9, CCL20, IL23R, CXCL13, CXCL5, PSMA8, IL1A, IGLL5, CXCL10, CD79A, MARCO, CXCL11, AIM2, IFNG, CCL7, IRF4, CLEC6A, MZB1, CCR6, IDO1"	119	960	16650	3.352153361	0.002378094	1.83E-04	1.78E-04
GOTERM_CC_FAT	GO:0005615~extracellular space	29	18.58974359	1.00E-06	"PIGR, CXCL9, IL26, IL24, LPO, CXCL13, CXCL5, CCL7, LIPG, SPP1, AGR2, VSTM1, CA6, CCL1, CAMP, SPINK8, CCL20, TNFRSF9, FGG, APOA1, LYZ, CHIT1, IL1A, IGLL5, CXCL10, CXCL11, F9, IFNG, CHI3L2"	107	1444	14527	2.726609625	2.53E-04	2.53E-04	2.53E-04
